Var1,n
repeated,4
replaced,4
reports,4
requests,4
requirements,4
resistance,4
respected,4
resulted,4
reviewed,4
rewarding,4
rise,4
rock,4
round,4
rule,4
runs,4
sa,4
safe,4
sake,4
save,4
scenes,4
se,4
send,4
settle,4
sexual,4
ship,4
shortage,4
stability,4
"staff
",4
stars,4
sticking,4
streamlined,4
stuck,4
subject,4
supporters,4
tactics,4
talented,4
task,4
tea,4
tedious,4
temporary,4
thieves,4
threat,4
thrown,4
tills,4
titles,4
topdown,4
totally,4
trouble,4
true,4
typical,4
unappreciated,4
unethical,4
unpleasant,4
unreliable,4
unwilling,4
upwards,4
users,4
utterly,4
vacant,4
views,4
vital,4
walking,4
water,4
wide,4
woefully,4
write,4
3-months,4
bad-behaviour,4
bank-holidays,4
bullying-behaviour,4
bullying-management,4
change-process,4
constantly-changing,4
daily-basis,4
dark-ages,4
doesnt-fit,4
dont-pay,4
entry-level,4
executive-director,4
executive-team,4
extremely-low,4
extremely-poor,4
gift-aid,4
heavy-lifting,4
heavy-workload,4
highly-political,4
hour-days,4
job-role,4
limited-resources,4
lower-pay,4
management-positions,4
management-support,4
managers-dont,4
money-money,4
move-forward,4
na-na,4
office-space,4
people-affected,4
poor-change,4
poor-internal,4
poor-managers,4
poor-people,4
poor-salaries,4
poor-training,4
poorly-paid,4
progression-senior,4
proper-training,4
recent-restructure,4
senior-leaders,4
service-users,4
shop-staff,4
slow-decision,4
staff-due,4
staff-feeling,4
staff-lack,4
status-quo,4
term-contracts,4
time-consuming,4
top-level,4
unrealistic-expectations,4
white-middle,4
poor-change-management,4
poor-internal-communication,4
progression-senior-management,4
white-middle-class,4
"

no",3
"

you",3
"
×",3
"
i",3
"
pay",3
"
staff",3
abuse,3
achieving,3
acted,3
actioned,3
actions,3
activity,3
adhere,3
adjusting,3
administrator,3
affiliates,3
agendas,3
alienated,3
aligned,3
allowance,3
applicants,3
application,3
applying,3
appointed,3
approve,3
aren’t,3
assigned,3
assistance,3
attendance,3
attitudes,3
attract,3
authoritarian,3
avenues,3
averse,3
backgrounds,3
backwards,3
band,3
bases,3
bears,3
belief,3
bhf,3
bias,3
block,3
blood,3
bosses,3
box,3
boys,3
brilliant,3
bringing,3
british,3
brushed,3
bubble,3
budgeting,3
bulk,3
bulling,3
cafe,3
calibre,3
campaign,3
campaigns,3
canvassers,3
captains,3
carpet,3
cashiers,3
cdd,3
choose,3
cio,3
city,3
clean,3
cleaning,3
client,3
cliques,3
clock,3
closing,3
cohesive,3
collect,3
college,3
combative,3
commercially,3
communicate,3
como,3
compare,3
comparison,3
compassion,3
complained,3
complaining,3
compliance,3
condescending,3
conferences,3
conflict,3
consistency,3
context,3
continual,3
continued,3
contribution,3
controlling,3
controls,3
convictions,3
coordination,3
coordinators,3
cope,3
corruption,3
cos,3
creates,3
creativity,3
